country_id,country
182,MONTSERRAT
183,MOROCCO
184,MOZAMBIQUE
185,MYANMAR
186,NAMIBIA
187,NAURU
188,NEPAL
189,NETHERLAND
190,NETHERLANDS
191,NETHERLANDS ANTILLES
192,NEW ZEALAND
193,NICARAGUA
194,NIGER
195,NIGERIA
196,NORWAY
197,ODINN
198,OMAN
199,PAKISTAN
200,PALAU
201,PANAMA
202,PAPUA NEW GUINEA
203,PARAGUAY
204,PERU
205,PHILIPPINES
206,POLAND
207,PORTUGAL
208,PUERTO RICO
209,QATAR
210,RENTAXEL
211,REPUBLIC OF KOREA
212,REPUBLIC OF THE CONGO
213,REUNION
214,ROMANIA
215,RUSSIA
216,RUSSIAN FEDERATION
217,RUSSIA]]
218,RWANDA
219,S
220,SAINT KITTS AND NEVIS
221,SAINT LUCIA
222,SAINT VINCENT AND THE GRENADINES
223,SAMOA
224,SAO TOME AND PRINCIPE
225,SAUDI ARABIA
226,SCHEFF
227,SENEGAL
228,SERBIA
229,SEYCHELLES
230,SIERRA LEONE
231,SINGAPORE
232,SLOVAKIA
233,SLOVENIA
234,SOLOMON ISLANDS
235,SOMALI REPUBLIC
236,SOUTH AFRICA
237,SOUTH KOREA
238,SOUTH SUDAN
239,SPAIN
240,SRI LANKA
241,SUDAN
242,SURINAME
243,SWAZILAND
244,SWEDEN
245,SWISSBIRD
246,SWITZERLAND
247,SYRIA
248,SYRIAN ARAB REPUBLIC
249,TAIWAN
250,TAJIKISTAN
251,TANZANIA
252,THAILAND
253,TOGO
254,TONGA
255,TRINIDAD AND TOBAGO
256,TUNISIA
257,TURKEY
258,TURKMENISTAN
259,TURKS AND CAICOS ISLANDS
260,UGANDA
261,UKRAINE
262,UNIFORM OSCAR
263,UNITED ARAB EMIRATES
264,UNITED KINGDOM
265,UNITED STATES
266,URUGUAY
267,UZBEKISTAN
268,VANUATU
269,VELES
270,VENEZUELA
271,VIETNAM
272,WATCHDOG
273,YEMEN
274,ZAMBIA
275,ZIMBABWE
276,\N
